Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured,date,search_str,latitude,longitude
Yes,"Flood at Lamikhet, Sundarbazar Municipality-3",,other,Flood,2022-06-18,Gandaki,Lamjung,Sundarbazar,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-18,"Sundarbazar, Lamjung, Nepal",28.15578000000005,84.36446000000007
Yes,"Landslide at Borangkhola, Rainas Municipality-1",,nepal_police,Landslide,2022-06-18,Gandaki,Lamjung,Rainas,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-18,"Rainas, Lamjung, Nepal",28.108630000000066,84.49414000000007
Yes,"Landslide at Charkilo, Ichchhyakamana Rural Municipality-6",,nepal_police,Landslide,2022-06-18,Bagmati,Chitwan,Ichchhyakamana,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2022-06-18,"Ichchhyakamana, Chitwan, Nepal",27.80278000000004,84.58055000000007
Yes,"Flood at Sardikhola, Machhapuchchhre Rural Municipality-2",,other,Flood,2022-06-18,Gandaki,Kaski,Machhapuchchhre,2,2750000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-18,"Machhapuchchhre, Kaski, Nepal",28.49565000000007,83.94614000000007
Yes,"Landslide at Yangpang, Sirijangha Rural Municipality-5",,nepal_police,Landslide,2022-06-17,Koshi,Taplejung,Sirijangha,5,1670000.0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-17,"Sirijangha, Taplejung, Nepal",27.494260000000057,87.96349000000004
Yes,"Landslide at Mamankhe, Sirijangha Rural Municipality-6",,nepal_police,Landslide,2022-06-17,Koshi,Taplejung,Sirijangha,6,3700000.0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-17,"Sirijangha, Taplejung, Nepal",27.494260000000057,87.96349000000004
Yes,"Landslide at Okhle, Pathibhara Yangwarak Rural Municipality-4",,nepal_police,Landslide,2022-06-17,Koshi,Taplejung,Pathibhara Yangwarak,4,900000.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-17,"Pathibhara Yangwarak, Taplejung, Nepal",27.325140000000033,87.73428000000007
Yes,"Landslide at Chichila Bajar, Chichila Rural Municipality-1",,nepal_police,Landslide,2022-06-17,Koshi,Sankhuwasabha,Chichila,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2022-06-17,"Chichila, Sankhuwasabha, Nepal",27.483190000000036,87.23172000000005
Yes,"Flood at Baguwa, Barah Municipality-1",,nepal_police,Flood,2022-06-17,Koshi,Sunsari,Barah,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-06-17,"Barah, Sunsari, Nepal",26.75279000000006,87.15755000000007
Yes,Landslide at Sirijangha Rural Municipality-6,,nepal_police,Landslide,2022-06-16,Koshi,Taplejung,Sirijangha,6,21300000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-16,"Sirijangha, Taplejung, Nepal",27.494260000000057,87.96349000000004
Yes,"Landslide at Thyampu, Sidingba Rural Municipality-7",,nepal_police,Landslide,2022-06-16,Koshi,Taplejung,Sidingba,7,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2022-06-16,"Sidingba, Taplejung, Nepal",27.35794000000004,87.94596000000007
Yes,"Landslide at SAKHAR, Anbukhaireni Rural Municipality-4",,other,Landslide,2022-06-15,Gandaki,Tanahu,Anbukhaireni,4,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,2022-06-15,"Anbukhaireni, Tanahu, Nepal",27.93548000000004,84.22325000000006
Yes,"Flood at Simaldhara, Khandachakra Municipality-2",,other,Flood,2022-06-15,Karnali,Kalikot,Khandachakra,2,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2022-06-15,"Khandachakra, Kalikot, Nepal",29.158830000000023,81.66961000000003
Yes,Landslide at Netrawati Dabjong Rural Municipality-1,,other,Landslide,2022-06-15,Bagmati,Dhading,Netrawati Dabjong,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-15,"Netrawati Dabjong, Dhading, Nepal",27.989940000000047,84.97375000000005
Yes,"Landslide at Sallaghari, Gangajamuna Rural Municipality-6",,other,Landslide,2022-06-15,Bagmati,Dhading,Gangajamuna,6,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-15,"Gangajamuna, Dhading, Nepal",28.091410000000053,84.92378000000008
