Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Fire at Samerahawa, Rohini Rural Municipality-4",,nepal_police,Fire,2023-01-01,Lumbini,Rupandehi,Rohini,4,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Laphadi, Barhadashi Rural Municipality-7",,nepal_police,Fire,2023-01-01,Koshi,Jhapa,Barhadashi,7,74000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Animal Incidents at Shivasataxi Municipality-11,,nepal_police,Animal Incidents,2023-01-01,Koshi,Jhapa,Shivasataxi,11,,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Fire at Maidel, Thulung Dudhkoshi Rural Municipality-6",,nepal_police,Fire,2023-01-01,Koshi,Solukhumbu,Thulung Dudhkoshi,6,300000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Gokarneshwor Municipality-7,,nepal_police,Fire,2023-01-01,Bagmati,Kathmandu,Gokarneshwor,7,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Machhapuchchhre Rural Municipality-2,,nepal_police,Fire,2023-01-01,Gandaki,Kaski,Machhapuchchhre,2,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jhali Tol, Rajbiraj Municipality-11",,nepal_police,Fire,2023-01-01,Madhesh,Saptari,Rajbiraj,11,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Dhanusadham Municipality-3,,nepal_police,Fire,2023-01-01,Madhesh,Dhanusa,Dhanusadham,3,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at marewa, Karjanha Municipality-7",,nepal_police,Fire,2023-01-01,Madhesh,Siraha,Karjanha,7,300000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Khajura Rural Municipality-2,,nepal_police,Fire,2023-01-01,Lumbini,Banke,Khajura,2,283400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at bajbot, Tribeni Rural Municipality-6",,nepal_police,Fire,2022-12-31,Lumbini,Rolpa,Tribeni,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Uralabari Municipality-7,,nepal_police,Fire,2022-12-31,Koshi,Morang,Uralabari,7,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Balara Municipality-6,,other,Fire,2022-12-31,Madhesh,Sarlahi,Balara,6,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Janakpur Submetropolitan City-25,,nepal_police,Fire,2022-12-31,Madhesh,Dhanusa,Janakpur,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Fire at Bastipur, Karjanha Municipality-4",,nepal_police,Fire,2022-12-31,Madhesh,Siraha,Karjanha,4,150000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Sukhipur Municipality-3,,nepal_police,Fire,2022-12-30,Madhesh,Siraha,Sukhipur,3,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Barah Municipality-7,,nepal_police,Fire,2022-12-30,Koshi,Sunsari,Barah,7,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Manjhariya, Ramgram Municipality-10",,nepal_police,Fire,2022-12-30,Lumbini,Nawalparasi West,Ramgram,10,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jhitkaiya, Durga Bhagwati Rural Municipality-5",,nepal_police,Fire,2022-12-30,Madhesh,Rautahat,Durga Bhagwati,5,150000,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Maharahjgunj bajar, Maharajgunj Municipality-1",,nepal_police,Fire,2022-12-30,Lumbini,Kapilbastu,Maharajgunj,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dudhagunj, Koshi Rural Municipality-4",,nepal_police,Fire,2022-12-30,Koshi,Sunsari,Koshi,4,40000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bhotebahal, Kathmandu Metropolitan City-11",,other,Fire,2022-12-30,Bagmati,Kathmandu,Kathmandu,11,10000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bela Mukhiya , Kalyanpur Municipality-12",,nepal_police,Fire,2022-12-30,Madhesh,Siraha,Kalyanpur,12,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Sirutara, Triyuga Municipality-7",,nepal_police,Animal Incidents,2022-12-30,Koshi,Udayapur,Triyuga,7,330000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Animal Incidents at Koshi Rural Municipality-3,,nepal_police,Animal Incidents,2022-12-30,Koshi,Sunsari,Koshi,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Fire at Devigau, Dharan Submetropolitan City-5",,nepal_police,Fire,2022-12-30,Koshi,Sunsari,Dharan,5,2000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Yaamphudin, Sirijangha Rural Municipality-8",,nepal_police,Fire,2022-12-30,Koshi,Taplejung,Sirijangha,8,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Camarahi, Chhinnamasta Rural Municipality-3",,nepal_police,Fire,2022-12-30,Madhesh,Saptari,Chhinnamasta,3,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Saramujuwa, Baudhimai Municipality-9",,nepal_police,Fire,2022-12-30,Madhesh,Rautahat,Baudhimai,9,170000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Toripul, Bhairabi Rural Municipality-6",,nepal_police,Fire,2022-12-30,Karnali,Dailekh,Bhairabi,6,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bohoragau, Nisikhola Rural Municipality-3",,nepal_police,Fire,2022-12-30,Gandaki,Baglung,Nisikhola,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Tenger, Ramgopalpur Municipality-1",,nepal_police,Fire,2022-12-30,Madhesh,Mahottari,Ramgopalpur,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Animal Incidents at Kharakhola, Barah Municipality-1",,nepal_police,Animal Incidents,2022-12-30,Koshi,Sunsari,Barah,1,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jharanchok, Biratnagar Metropolitan City-6",,nepal_police,Fire,2022-12-30,Koshi,Morang,Biratnagar,6,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Maitidevi, Kathmandu Metropolitan City-30",,nepal_police,Fire,2022-12-29,Bagmati,Kathmandu,Kathmandu,30,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Bhagawatimai Rural Municipality-6,,nepal_police,Fire,2022-12-29,Karnali,Dailekh,Bhagawatimai,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Shrepa Chok, Sundarharaicha Municipality-6",,nepal_police,Fire,2022-12-29,Koshi,Morang,Sundarharaicha,6,35000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Fourgroup, Rapti Municipality-7",,nepal_police,Fire,2022-12-29,Bagmati,Chitwan,Rapti,7,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at kubar tola, Modi Rural Municipality-5",,nepal_police,Fire,2022-12-29,Gandaki,Parbat,Modi,5,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Rapti Municipality-3,,nepal_police,Fire,2022-12-29,Bagmati,Chitwan,Rapti,3,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at jyatti, Byas Rural Municipality-1",,nepal_police,Fire,2022-12-29,Sudurpashchim,Darchula,Byas,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Ishworpur Municipality-15,,nepal_police,Fire,2022-12-29,Madhesh,Sarlahi,Ishworpur,15,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Prithbi wosti, Bardaghat Municipality-15",,nepal_police,Fire,2022-12-29,Lumbini,Nawalparasi West,Bardaghat,15,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Haldibari Rural Municipality-4,,nepal_police,Fire,2022-12-29,Koshi,Jhapa,Haldibari,4,2000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Silahat, Rajdevi Municipality-4",,nepal_police,Fire,2022-12-28,Madhesh,Rautahat,Rajdevi,4,275400,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sina Aati, Byas Rural Municipality-3",,nepal_police,Fire,2022-12-28,Sudurpashchim,Darchula,Byas,3,,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Sundarharaicha Municipality-3,,nepal_police,Fire,2022-12-28,Koshi,Morang,Sundarharaicha,3,290000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Bode Barsain Municipality-4,,nepal_police,Fire,2022-12-28,Madhesh,Saptari,Bode Barsain,4,185000,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dhura, Kamalamai Municipality-6",,nepal_police,Fire,2022-12-28,Bagmati,Sindhuli,Kamalamai,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Fire at Bhumekasthan Municipality-7,,nepal_police,Fire,2022-12-28,Lumbini,Arghakhanchi,Bhumekasthan,7,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sankhapur, Shankharapur Municipality-6",,nepal_police,Fire,2022-12-28,Bagmati,Kathmandu,Shankharapur,6,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Aurahi Municipality-8,,nepal_police,Fire,2022-12-28,Madhesh,Mahottari,Aurahi,8,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at meheta Tol, Barju Rural Municipality-6",,nepal_police,Fire,2022-12-28,Koshi,Sunsari,Barju,6,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Kudiya, Rajpur Municipality-5",,nepal_police,Fire,2022-12-28,Madhesh,Rautahat,Rajpur,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,High Altitude at Khumbupasanglahmu Rural Municipality-4,,nepal_police,High Altitude,2022-12-28,Koshi,Solukhumbu,Khumbupasanglahmu,4,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Machhapuchchhre Rural Municipality-3,,nepal_police,Fire,2022-12-28,Gandaki,Kaski,Machhapuchchhre,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Hadiya Dunga , Rautamai Rural Municipality-7",,nepal_police,Fire,2022-12-28,Koshi,Udayapur,Rautamai,7,500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Biratnagar Metropolitan City-1,,nepal_police,Fire,2022-12-28,Koshi,Morang,Biratnagar,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Thungthap, Meringden Rural Municipality-1",,nepal_police,Fire,2022-12-28,Koshi,Taplejung,Meringden,1,8500000,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Harapataganj, Birgunj Metropolitan City-20",,nepal_police,Fire,2022-12-27,Madhesh,Parsa,Birgunj,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Fire at Bichkapur, Ghodaghodi Municipality-9",,nepal_police,Fire,2022-12-27,Sudurpashchim,Kailali,Ghodaghodi,9,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Pani Tankey, Bhimdatta Municipality-8",,nepal_police,Fire,2022-12-26,Sudurpashchim,Kanchanpur,Bhimdatta,8,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Raniban, Nagarjun Municipality-1",,nepal_police,Fire,2022-12-26,Bagmati,Kathmandu,Nagarjun,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Kamal Rural Municipality-5,,nepal_police,Fire,2022-12-26,Koshi,Jhapa,Kamal,5,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Pakadi, Kotahimai Rural Municipality-2",,nepal_police,Fire,2022-12-26,Lumbini,Rupandehi,Kotahimai,2,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Mahabhir, Malika Rural Municipality-4",,nepal_police,Fire,2022-12-26,Gandaki,Myagdi,Malika,4,1000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Maletha, Kanchanrup Municipality-6",,nepal_police,Animal Incidents,2022-12-26,Madhesh,Saptari,Kanchanrup,6,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Gauriganj Rural Municipality-3,,nepal_police,Fire,2022-12-26,Koshi,Jhapa,Gauriganj,3,85000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Khandbari Municipality-1,,nepal_police,Fire,2022-12-26,Koshi,Sankhuwasabha,Khandbari,1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dumariya, Katahariya Municipality-9",,nepal_police,Fire,2022-12-26,Madhesh,Rautahat,Katahariya,9,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Triyuga Municipality-3,,nepal_police,Fire,2022-12-26,Koshi,Udayapur,Triyuga,3,1600000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Binagra, Kabilasi Municipality-3",,nepal_police,Fire,2022-12-25,Madhesh,Sarlahi,Kabilasi,3,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jarmi, Tatopani Rural Municipality-6",,nepal_police,Fire,2022-12-25,Karnali,Jumla,Tatopani,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Tengrahatole, Phatuwa Bijayapur Municipality-4",,nepal_police,Fire,2022-12-25,Madhesh,Rautahat,Phatuwa Bijayapur,4,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Inarwa, Rajgadh Rural Municipality-6",,nepal_police,Fire,2022-12-25,Madhesh,Saptari,Rajgadh,6,116000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Raghuganga Rural Municipality-1,,nepal_police,Fire,2022-12-25,Gandaki,Myagdi,Raghuganga,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Pandubazar Hai, Suryabinayak Municipality-6",,nepal_police,Fire,2022-12-25,Bagmati,Bhaktapur,Suryabinayak,6,20000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Birgunj Metropolitan City-17,,nepal_police,Fire,2022-12-25,Madhesh,Parsa,Birgunj,17,300000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Kabilasi Municipality-3,,nepal_police,Fire,2022-12-25,Madhesh,Sarlahi,Kabilasi,3,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Budhiganga Rural Municipality-7,,nepal_police,Fire,2022-12-25,Koshi,Morang,Budhiganga,7,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Budhiganga Rural Municipality-7,,nepal_police,Fire,2022-12-25,Koshi,Morang,Budhiganga,7,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Sundarharaicha Municipality-3,,nepal_police,Fire,2022-12-25,Koshi,Morang,Sundarharaicha,3,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Tulsipur, Gulariya Municipality-4",,nepal_police,Animal Incidents,2022-12-25,Lumbini,Bardiya,Gulariya,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Fire at Sanphebagar Municipality-13,,nepal_police,Fire,2022-12-25,Sudurpashchim,Achham,Sanphebagar,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Gitthepani, Ghorahi Submetropolitan City-18",,nepal_police,Fire,2022-12-25,Lumbini,Dang,Ghorahi,18,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Belha Mukhiya Tol, Kalyanpur Municipality-12",,nepal_police,Fire,2022-12-25,Madhesh,Siraha,Kalyanpur,12,1000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dhada, Mandavi Rural Municipality-2",,nepal_police,Fire,2022-12-25,Lumbini,Pyuthan,Mandavi,2,450000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at BalaBakhar, Sahidnagar Municipality-1",,nepal_police,Fire,2022-12-25,Madhesh,Dhanusa,Sahidnagar,1,50000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dauwabari, Gauriganj Rural Municipality-6",,nepal_police,Fire,2022-12-25,Koshi,Jhapa,Gauriganj,6,2180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dangda Kharka, Ramprasad Rai Rural Municipality-3",,nepal_police,Fire,2022-12-25,Koshi,Bhojpur,Ramprasad Rai,3,205000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Shivasataxi Municipality-5,,nepal_police,Fire,2022-12-25,Koshi,Jhapa,Shivasataxi,5,300000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Chaudandigadhi Municipality-10,,nepal_police,Fire,2022-12-24,Koshi,Udayapur,Chaudandigadhi,10,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at JalpaRoad, Pokhara Lekhnath Metropolitan City-8",,nepal_police,Fire,2022-12-24,Gandaki,Kaski,Pokhara Lekhnath,8,100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Ittabhatta, Mechinagar Municipality-7",,nepal_police,Fire,2022-12-24,Koshi,Jhapa,Mechinagar,7,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jur, Runtigadi Rural Municipality-3",,nepal_police,Fire,2022-12-24,Lumbini,Rolpa,Runtigadi,3,1414500,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Rupakot, Diktel Rupakot Majhuwagadhi Municipality-3",,nepal_police,Fire,2022-12-24,Koshi,Khotang,Diktel Rupakot Majhuwagadhi,3,8456500,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Takure, Dharmadevi Municipality-2",,nepal_police,Fire,2022-12-24,Koshi,Sankhuwasabha,Dharmadevi,2,200000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sanatapurtole, Phatuwa Bijayapur Municipality-5",,nepal_police,Fire,2022-12-24,Madhesh,Rautahat,Phatuwa Bijayapur,5,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sir, Dharmadevi Municipality-8",,nepal_police,Fire,2022-12-24,Koshi,Sankhuwasabha,Dharmadevi,8,250000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Shirukhor Dandagaun, Chichila Rural Municipality-1",,nepal_police,Fire,2022-12-24,Koshi,Sankhuwasabha,Chichila,1,250000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Chandranagar Rural Municipality-3,,nepal_police,Fire,2022-12-23,Madhesh,Sarlahi,Chandranagar,3,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Koshi nahar , Bishnupur Rural Municipality-7",,nepal_police,Fire,2022-12-23,Madhesh,Saptari,Bishnupur,7,124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Basajori, Lahan Municipality-18",,nepal_police,Fire,2022-12-23,Madhesh,Siraha,Lahan,18,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Godaita Municipality-7,,nepal_police,Fire,2022-12-23,Madhesh,Sarlahi,Godaita,7,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Khanar, Itahari Submetropolitan City-12",,nepal_police,Fire,2022-12-23,Koshi,Sunsari,Itahari,12,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Koshi Rural Municipality-3,,nepal_police,Fire,2022-12-23,Koshi,Sunsari,Koshi,3,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Lphyang, Diktel Rupakot Majhuwagadhi Municipality-5",,nepal_police,Fire,2022-12-23,Koshi,Khotang,Diktel Rupakot Majhuwagadhi,5,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Kavresthali, Tarakeshwor Municipality-2",,nepal_police,Fire,2022-12-23,Bagmati,Kathmandu,Tarakeshwor,2,568000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at B.K. chowk, Nepalgunj Submetropolitan City-4",,nepal_police,Fire,2022-12-23,Lumbini,Banke,Nepalgunj,4,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Patle, Dudhpokhari Rural Municipality-1",,nepal_police,Fire,2022-12-23,Gandaki,Lamjung,Dudhpokhari,1,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bagahi, Birgunj Metropolitan City-28",,nepal_police,Fire,2022-12-23,Madhesh,Parsa,Birgunj,28,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at hanumannagar, Janakpur Submetropolitan City-12",,nepal_police,Fire,2022-12-23,Madhesh,Dhanusa,Janakpur,12,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Dhaudi, Belaka Municipality-3",,nepal_police,Fire,2022-12-22,Koshi,Udayapur,Belaka,3,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Nautan nuhar, Parwanipur Rural Municipality-5",,nepal_police,Fire,2022-12-22,Madhesh,Bara,Parwanipur,5,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sabgadha, Gaur Municipality-6",,nepal_police,Fire,2022-12-22,Madhesh,Rautahat,Gaur,6,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Somnath, Sunwal Municipality-1",,nepal_police,Fire,2022-12-22,Lumbini,Nawalparasi West,Sunwal,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Karsaghat, Butwal Submetropolitan City-16",,nepal_police,Fire,2022-12-22,Lumbini,Rupandehi,Butwal,16,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Madhubal, Bindabasini Rural Municipality-4",,nepal_police,Fire,2022-12-22,Madhesh,Parsa,Bindabasini,4,900000,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Mithila Bihari Municipality-7,,nepal_police,Fire,2022-12-22,Madhesh,Dhanusa,Mithila Bihari,7,200000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Mayaurdhap, Hetauda Submetropolitan City-14",,nepal_police,Fire,2022-12-22,Bagmati,Makwanpur,Hetauda,14,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Archale, Ghanglekh Rural Municipality-5",,nepal_police,Fire,2022-12-22,Bagmati,Sindhuli,Ghanglekh,5,540000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sabalakhu, Sidingba Rural Municipality-4",,nepal_police,Fire,2022-12-22,Koshi,Taplejung,Sidingba,4,1000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
